Peptide,A60_fold
1186,1.119047619
1186,1.142857143
1186,1.301075269
1186,1.172043011
1186,1.289099526
5001,1.464285714
5001,1.547619048
5002,3.976190476
5002,4.071428571
5002,3.150537634
5002,3.322580645
5002,2.957345972
5003,3.095238095
5003,3.083333333
5003,2.698924731
5003,3.247311828
5003,2.890995261
5003,2.644549763
5004,3.714285714
5004,4.404761905
5004,2.784946237
5004,3.849462366
5005,4.13095238
5005,4.0952381
5005,2.88172043
5005,3.37634409
5005,2.63507109
5005,3.30805687
1410,1.440860215
1410,1.569892473
1410,1.706161137
1410,1.876777251
Pa22,5.357142857
Pa22,5.702380952
Pa22,4.797619048
Pa22,5.94047619
Pa22,5.333333333
Pa22,5.738095238
Pa22,5.064516129
Pa22,4.913978495
Pa22,4.677419355
Pa22,4.666666667
Pa22,5.182795699
Pa22,5.279569892
Pa22,3.639810427
Pa22,3.668246445
Pa22,3.71563981
Pa22,4.672985782
Pa22,4.208530806
Pa22,5.061611374
Pa22,3.592417062
Pa22,3.440758294
Pa20,1.706161137
Pa20,1.876777251