Strain,Condition,Rep,Plate,Days,Root_growth (mm)
NB,flg+,3,3,7,17
NB,flg+,3,3,7,19
NB,flg+,3,3,7,22
NB,flg+,3,3,7,19
NB,flg+,3,3,7,23
NB,flg+,3,3,7,6
NB,flg+,3,1,7,9
NB,flg+,3,1,7,4
NB,flg+,3,1,7,1
NB,flg+,3,1,7,5
NB,flg+,3,1,7,1
NB,flg+,3,1,7,22
NB,flg+,3,2,7,25
NB,flg+,3,2,7,25
NB,flg+,3,2,7,4
NB,flg+,3,2,7,17
NB,flg+,3,2,7,23
p182,flg+,3,26,7,30
p182,flg+,3,26,7,22
p182,flg+,3,26,7,18
p182,flg+,3,26,7,22
p182,flg+,3,26,7,26
p182,flg+,3,26,7,37
p182,flg+,3,27,7,32
p182,flg+,3,27,7,39
p182,flg+,3,27,7,33
p182,flg+,3,27,7,37
p182,flg+,3,27,7,21
p182,flg+,3,27,7,33
p182,flg+,3,25,7,40
p182,flg+,3,25,7,30
p182,flg+,3,25,7,45
p182,flg+,3,25,7,36
p182,flg+,3,25,7,27
p182,flg+,3,25,7,37
NB,flg-,3,4,7,46
NB,flg-,3,4,7,67
NB,flg-,3,4,7,69
NB,flg-,3,4,7,70
NB,flg-,3,4,7,74
NB,flg-,3,4,7,70
NB,flg-,3,5,7,70
NB,flg-,3,5,7,63
NB,flg-,3,5,7,73
NB,flg-,3,5,7,70
NB,flg-,3,5,7,71
NB,flg-,3,5,7,67
NB,flg-,3,6,7,64
NB,flg-,3,6,7,60
NB,flg-,3,6,7,70
NB,flg-,3,6,7,61
NB,flg-,3,6,7,57
NB,flg-,3,6,7,66
p182,flg-,3,30,7,57
p182,flg-,3,30,7,47
p182,flg-,3,30,7,58
p182,flg-,3,30,7,52
p182,flg-,3,30,7,65
p182,flg-,3,30,7,64
p182,flg-,3,29,7,55
p182,flg-,3,29,7,69
p182,flg-,3,29,7,67
p182,flg-,3,29,7,70
p182,flg-,3,29,7,58
p182,flg-,3,29,7,52
p182,flg-,3,28,7,66
p182,flg-,3,28,7,47
p182,flg-,3,28,7,57
p182,flg-,3,28,7,56
p182,flg-,3,28,7,65
p182,flg-,3,28,7,55
cl21,flg-,3,11,7,50
cl21,flg-,3,11,7,68
cl21,flg-,3,11,7,62
cl21,flg-,3,11,7,62
cl21,flg-,3,11,7,52
cl21,flg-,3,11,7,50
cl21,flg-,3,10,7,66
cl21,flg-,3,10,7,56
cl21,flg-,3,10,7,52
cl21,flg-,3,10,7,66
cl21,flg-,3,10,7,53
cl21,flg-,3,10,7,50
cl21,flg-,3,12,7,52
cl21,flg-,3,12,7,67
cl21,flg-,3,12,7,58
cl21,flg-,3,12,7,61
cl21,flg-,3,12,7,72
cl21,flg-,3,12,7,34
deltafliC,flg-,3,17,7,54
deltafliC,flg-,3,17,7,58
deltafliC,flg-,3,17,7,54
deltafliC,flg-,3,17,7,60
deltafliC,flg-,3,17,7,67
deltafliC,flg-,3,17,7,58
deltafliC,flg-,3,16,7,52
deltafliC,flg-,3,16,7,64
deltafliC,flg-,3,16,7,58
deltafliC,flg-,3,16,7,56
deltafliC,flg-,3,16,7,45
deltafliC,flg-,3,16,7,56
deltafliC,flg-,3,18,7,37
deltafliC,flg-,3,18,7,44
deltafliC,flg-,3,18,7,54
deltafliC,flg-,3,18,7,49
deltafliC,flg-,3,18,7,50
deltafliC,flg-,3,18,7,63
deltafliC,flg+,3,14,7,37
deltafliC,flg+,3,14,7,42
deltafliC,flg+,3,14,7,11
deltafliC,flg+,3,14,7,23
deltafliC,flg+,3,14,7,39
deltafliC,flg+,3,14,7,43
deltafliC,flg+,3,15,7,31
deltafliC,flg+,3,15,7,17
deltafliC,flg+,3,15,7,41
deltafliC,flg+,3,15,7,35
deltafliC,flg+,3,15,7,13
deltafliC,flg+,3,15,7,37
deltafliC,flg+,3,13,7,38
deltafliC,flg+,3,13,7,32
deltafliC,flg+,3,13,7,29
deltafliC,flg+,3,13,7,31
deltafliC,flg+,3,13,7,7
deltafliC,flg+,3,13,7,35
cl21,flg+,3,9,7,35
cl21,flg+,3,9,7,37
cl21,flg+,3,9,7,36
cl21,flg+,3,9,7,36
cl21,flg+,3,9,7,33
cl21,flg+,3,9,7,7
cl21,flg+,3,7,7,40
cl21,flg+,3,7,7,33
cl21,flg+,3,7,7,37
cl21,flg+,3,7,7,36
cl21,flg+,3,7,7,36
cl21,flg+,3,7,7,31
cl21,flg+,3,8,7,34
cl21,flg+,3,8,7,37
cl21,flg+,3,8,7,36
cl21,flg+,3,8,7,31
cl21,flg+,3,8,7,31
cl21,flg+,3,8,7,30
p176,flg+,3,20,7,23
p176,flg+,3,20,7,34
p176,flg+,3,20,7,39
p176,flg+,3,20,7,41
p176,flg+,3,20,7,38
p176,flg+,3,20,7,33
p176,flg+,3,19,7,12
p176,flg+,3,19,7,37
p176,flg+,3,19,7,40
p176,flg+,3,19,7,29
p176,flg+,3,19,7,33
p176,flg+,3,19,7,32
p176,flg+,3,21,7,32
p176,flg+,3,21,7,39
p176,flg+,3,21,7,31
p176,flg+,3,21,7,39
p176,flg+,3,21,7,38
p176,flg+,3,21,7,29
p176,flg-,3,24,7,62
p176,flg-,3,24,7,58
p176,flg-,3,24,7,56
p176,flg-,3,24,7,63
p176,flg-,3,24,7,57
p176,flg-,3,24,7,65
p176,flg-,3,23,7,46
p176,flg-,3,23,7,61
p176,flg-,3,23,7,62
p176,flg-,3,23,7,50
p176,flg-,3,23,7,54
p176,flg-,3,23,7,62
p176,flg-,3,22,7,66
p176,flg-,3,22,7,62
p176,flg-,3,22,7,68
p176,flg-,3,22,7,64
p176,flg-,3,22,7,58
p176,flg-,3,22,7,60